"transaction_id","invoice_id","transaction_date","customer_id","product_id","product_name","category","quantity","unit_price","discount","total_amount","payment_method","store_id"
"TXN0032","INV0032","2026-04-30","C014","P002","Bread Loaf","Bakery","1","45","0","45","Net Banking","S002"
"TXN0033","INV0033","2026-05-07","C023","P017","Juice 1L","Beverages","4","99","0","396","UPI","S002"
"TXN0034","INV0034","2026-04-19","C014","P011","Eggs 12pc","Dairy","7","90","0","630","UPI","S001"
"TXN0035","INV0035","15-07-2026","C038","P002","Bread Loaf","Bakery","8","45","0","360","Cash","S001"
"TXN0036","INV0036","2026-02-09","C034","P002","Bread Loaf","Bakery","8","45","20","340","UPI","S002"
"TXN0037","INV0037","2026-05-05","C017","P011","Eggs 12pc","Dairy","3","90","15","255","Cash","S002"
"TXN0038","INV0038","2026-06-14","C008","P006","Coffee Jar","Beverages","8","240","10","1910","UPI","S002"
"TXN0039","INV0039","2026-01-27","C037","P007","Toothpaste","Personal Care","8","95","20","740","Net Banking","S002"
"TXN0040","INV0040","2026-04-15","C026","P020","Handwash","Household","4","140","10","0","Net Banking","S003"
"TXN0041","INV0041","2026-06-18","C015","P006","Coffee Jar","Beverages","3","240","0","720","UPI","S003"
"TXN0042","INV0042","2026-03-01","C013","P016","Chips","Snacks","3","30","0","90","Net Banking","S001"
"TXN0043","INV0043","2026-01-29","C022","P004","Sugar 1kg","Grocery","2","55","0","110","Cash","S003"
"TXN0044","INV0044","2026-05-06","C013","P012","Butter","Dairy","6","120","0","720","Net Banking","S003"
"TXN0045","INV0045","2026-01-23","C021","P017","Juice 1L","Beverages","2","99","0","198","","S003"
"TXN0046","INV0046","2026-02-19","C033","P016","Chips","Snacks","7","30","5","205","UPI","S001"
"TXN0047","INV0047","2026-06-24","C013","P003","Rice 5kg","Grocery","2","420","15","825","Cash","S002"
"TXN0048","INV0048","2026-01-30","C028","P014","Soap Pack","Personal Care","1","110","5","105","Net Banking","S001"
"TXN0049","INV0049","2026-02-13","C011","P019","Flour 5kg","Grocery","6","250","15","1485","Net Banking","S003"
"TXN0050","INV0050","2026-02-02","C014","P014","Soap Pack","Personal Care","4","110","0","440","Cash","S999"
"TXN0051","INV0051","2026-02-08","C005","P020","Handwash","Household","6","140","5","835","UPI","S003"
"TXN0052","INV0052","2026-06-24","C039","P005","Tea Powder","Beverages","7","180","20","1240","UPI","S001"
"TXN0053","INV0053","2026-03-09","C017","P002","Bread Loaf","Bakery","3","45","10","125","UPI","S002"
"TXN0054","INV0054","2026-01-19","C011","P013","Detergent","Household","1","210","0","210","Card","S001"
"TXN0055","INV0055","2026-01-14","C017","P005","Tea Powder","Beverages","-2","180","0","900","UPI","S002"
"TXN0056","INV0056","2026-01-26","C022","P005","Tea Powder","Beverages","7","180","0","1260","UPI","S003"
"TXN0057","INV0057","2026-01-04","C016","P011","Eggs 12pc","Dairy","6","90","20","520","Cash","S001"
"TXN0058","INV0058","2026-03-26","C006","P014","Soap Pack","Personal Care","5","110","15","535","Net Banking","S002"
"TXN0059","INV0059","2026-01-10","C033","P004","Sugar 1kg","Grocery","5","55","15","260","Card","S001"
"TXN0060","INV0060","2026-06-04","C006","","Butter","Dairy","8","120","5","955","Cash","S002"
"TXN0061","INV0061","2026-05-18","C031","P017","Juice 1L","Beverages","2","99","0","198","Card","S002"
"TXN0062","INV0062","2026-02-28","C038","P008","Shampoo","Personal Care","4","160","0","640","Net Banking","S002"
"TXN0063","INV0063","2026-02-02","C004","P010","Pen Pack","Stationery","1","75","20","55","Cash","S002"
"TXN0064","INV0064","2026-01-09","C040","P011","Eggs 12pc","Dairy","1","90","5","85","Card","S001"
"TXN0001","INV0065","2026-06-18","C015","P003","Rice 5kg","Grocery","1","420","20","400","Cash","S001"
"TXN0066","INV0066","2026-03-05","C006","P010","Pen Pack","Stationery","7","75","0","525","Cash","S003"
"TXN0067","INV0067","2026-03-01","C023","P014","Soap Pack","Personal Care","3","110","0","330","Net Banking","S002"
"TXN0068","INV0068","2026-03-19","C017","P019","Flour 5kg","Grocery","2","250","10","490","Card","S001"
"TXN0069","INV0069","2026-06-23","C023","P014","Soap Pack","Personal Care","6","110","0","660","Card","S001"
"TXN0070","INV0070","2026-05-25","C009","P019","Flour 5kg","Grocery","2","250","15","99999","UPI","S002"
"TXN0071","INV0071","2026-06-19","C021","P009","Notebook","Stationery","4","50","0","200","Cash","S003"
"TXN0072","INV0072","2026-03-17","C010","P005","Tea Powder","Beverages","5","180","0","900","Net Banking","S002"
"TXN0073","INV0073","2026-03-12","C037","P018","Cooking Oil","Grocery","2","165","0","330","Card","S002"
"TXN0074","INV0074","2026-05-01","C006","P003","Rice 5kg","Grocery","3","420","0","1260","Cash","S001"
"TXN0075","INV0075","2026-04-09","C999","P010","Pen Pack","Stationery","7","75","0","525","UPI","S001"
"TXN0076","INV0076","2026-05-26","C027","P015","Biscuits","Snacks","2","35","15","55","Card","S003"
"TXN0077","INV0077","2026-01-21","C033","P011","Eggs 12pc","Dairy","2","90","10","170","UPI","S003"
"TXN0078","INV0078","2026-04-24","C035","P004","Sugar 1kg","Grocery","5","55","15","260","Net Banking","S003"
"TXN0079","INV0079","2026-02-03","C002","P001","Milk 1L","Dairy","1","60","15","45","Card","S002"
"TXN0080","","2026-04-19","C028","P020","Handwash","Household","6","140","15","825","Net Banking","S003"
"TXN0081","INV0081","2026-05-19","C028","P008","Shampoo","Personal Care","7","160","0","1120","Card","S002"
"TXN0082","INV0082","2026-05-27","C028","P012","Butter","Dairy","6","120","20","700","Net Banking","S003"
"TXN0083","INV0083","2026-01-17","C036","P013","Detergent","Household","2","210","0","420","UPI","S001"
"TXN0084","INV0084","2026-02-14","C035","P013","Detergent","Household","5","210","20","1030","UPI","S002"
"TXN0085","INV0085","2026/02/31","C027","P004","Sugar 1kg","Grocery","6","55","0","330","Cash","S001"
"TXN0086","INV0086","2026-06-01","C039","P002","Bread Loaf","Bakery","5","45","20","205","Card","S003"
"TXN0087","INV0087","2026-04-09","C025","P007","Toothpaste","Personal Care","7","95","0","665","Cash","S002"
"TXN0088","INV0088","2026-04-22","C024","P001","Milk 1L","Dairy","7","60","5","415","Card","S003"
"TXN0089","INV0089","2026-03-31","C026","P008","Shampoo","Personal Care","8","160","0","1280","Cash","S001"
"TXN0090","INV0090","2026-06-06","C026","P015","Biscuits","Snacks","4","","15","125","UPI","S002"
"TXN0091","INV0091","2026-03-26","C029","P002","Bread Loaf","Bakery","8","45","0","360","UPI","S001"
"TXN0092","INV0092","2026-02-13","C009","P003","Rice 5kg","Grocery","3","420","0","1260","UPI","S003"
"TXN0093","INV0093","2026-06-13","C020","P013","Detergent","Household","3","210","20","610","Card","S001"
"TXN0094","INV0094","2026-06-27","C003","P015","Biscuits","Snacks","5","35","20","155","Net Banking","S002"
"TXN0095","INV0095","2026-03-04","C032","P018","Cooking Oil","Grocery","1","165","10","155","Bitcoin","S001"
"TXN0096","INV0096","2026-01-13","C012","P005","Tea Powder","Beverages","3","180","0","540","Card","S002"
"TXN0097","INV0097","2026-04-22","C038","P011","Eggs 12pc","Dairy","6","90","15","525","UPI","S002"
"TXN0098","INV0098","2026-02-24","C035","P013","Detergent","Household","4","210","20","820","Cash","S003"
"TXN0099","INV0099","2026-02-11","C004","P009","Notebook","Stationery","8","50","5","395","UPI","S003"
"TXN0100","INV0100","2026-01-13","C031","P013","milk 1l","Household","7","210","0","1470","Card","S001"
"TXN0101","INV0101","2026-02-11","C034","P004","Sugar 1kg","Grocery","6","55","20","310","UPI","S002"
"TXN0102","INV0102","2026-04-05","C014","P005","Tea Powder","Beverages","5","180","5","895","UPI","S001"
"TXN0103","INV0103","2026-02-03","C034","P006","Coffee Jar","Beverages","3","240","20","700","Cash","S003"
"TXN0104","INV0104","2026-03-05","C017","P001","Milk 1L","Dairy","2","60","5","115","Cash","S003"
"TXN0105","INV0105","2026-04-09","C007","P003","Rice 5kg","grocery ","5","420","15","2085","Cash","S003"
"TXN0106","INV0106","2026-06-06","C010","P014","Soap Pack","Personal Care","7","110","0","770","UPI","S002"
"TXN0107","INV0107","2026-01-31","C035","P011","Eggs 12pc","Dairy","4","90","0","360","Net Banking","S003"
"TXN0108","INV0108","2026-02-16","C011","P002","Bread Loaf","Bakery","1","45","5","40","Card","S001"
"TXN0109","INV0109","2026-03-18","C034","P011","Eggs 12pc","Dairy","5","90","10","440","Card","S002"
"TXN0110","INV0110","2026-06-18","C024","P009","Notebook","Stationery","1000","50","0","50","Cash","S002"
"TXN0111","INV0111","2026-01-17","C021","P006","Coffee Jar","Beverages","2","240","0","480","Cash","S003"
"TXN0112","INV0112","2026-06-05","C039","P015","Biscuits","Snacks","4","35","10","130","Cash","S001"
"TXN0113","INV0113","2026-01-10","C012","P016","Chips","Snacks","6","30","20","160","UPI","S002"
"TXN0114","INV0114","2026-03-01","C019","P016","Chips","Snacks","3","30","5","85","Net Banking","S002"
"TXN0115","INV0115","2026-05-13","C015","P017","Juice 1L","Beverages","8","99","500","782","Cash","S001"
"TXN0116","INV0116","2026-02-27","C033","P012","Butter","Dairy","1","120","0","120","Card","S003"
"TXN0117","INV0117","2026-04-10","C026","P001","Milk 1L","Dairy","8","60","0","480","Card","S003"
"TXN0118","INV0118","2026-02-09","C019","P014","Soap Pack","Personal Care","6","110","0","660","Net Banking","S003"
"TXN0119","INV0119","2026-02-06","C040","P002","Bread Loaf","Bakery","8","45","15","345","Cash","S002"
"TXN0120","INV0120","2026-01-22","C020","P007","Toothpaste","Personal Care","3","95","0","285","Cash",""
"TXN0121","INV0121","2026-03-10","C004","P018","Cooking Oil","Grocery","5","165","15","810","UPI","S001"
"TXN0122","INV0122","2026-06-06","C012","P010","Pen Pack","Stationery","7","75","20","505","Card","S003"
"TXN0123","INV0123","2026-02-08","C033","P013","Detergent","Household","3","210","20","610","UPI","S003"
"TXN0124","INV0124","2026-02-22","C039","P004","Sugar 1kg","Grocery","1","55","5","50","Cash","S003"
"TXN0125","INV0125","2026-03-25","","P005","Tea Powder","Beverages","6","180","0","1080","UPI","S002"
"TXN0126","INV0126","2026-01-11","C001","P017","Juice 1L","Beverages","3","99","0","297","Cash","S001"
"TXN0127","INV0127","2026-02-13","C024","P007","Toothpaste","Personal Care","4","95","0","380","Net Banking","S001"
"TXN0128","INV0128","2026-04-27","C029","P003","Rice 5kg","Grocery","4","420","15","1665","Net Banking","S001"
"TXN0129","INV0129","2026-01-04","C037","P002","Bread Loaf","Bakery","7","45","20","295","Net Banking","S002"
"TXN0130","INV0130","2026-05-28","C010","P999","Soap Pack","Personal Care","8","110","0","880","Card","S002"
"TXN0131","INV0131","2026-02-12","C014","P016","Chips","Snacks","8","30","15","225","Card","S001"
"TXN0132","INV0132","2026-06-25","C036","P020","Handwash","Household","3","140","10","410","Net Banking","S001"
"TXN0133","INV0133","2026-04-19","C015","P014","Soap Pack","Personal Care","1","110","0","110","Cash","S003"
"TXN0134","INV0134","2026-04-11","C020","P008","Shampoo","Personal Care","1","160","5","155","UPI","S001"
"TXN0135","INV0135","2026-04-06","C005","P016","Chips","Snacks","7","30","15","","Cash","S001"
"TXN0136","INV0136","2026-03-22","C015","P014","Soap Pack","Personal Care","6","110","0","660","Card","S002"
"TXN0137","INV0137","2026-05-04","C033","P009","Notebook","Stationery","5","50","0","250","Cash","S001"
"TXN0138","INV0138","2026-06-18","C015","P003","Rice 5kg","Grocery","1","420","5","415","UPI","S003"
"TXN0139","INV0139","2026-06-21","C019","P013","Detergent","Household","4","210","20","820","UPI","S003"
"","INV0140","2026-04-15","C002","P001","Milk 1L","Dairy","1","60","0","60","UPI","S002"
"TXN0141","INV0141","2026-06-13","C035","P003","Rice 5kg","Grocery","8","420","0","3360","UPI","S001"
"TXN0142","INV0142","2026-01-25","C036","P019","Flour 5kg","Grocery","4","250","5","995","Card","S001"
"TXN0143","INV0143","2026-01-30","C002","P006","Coffee Jar","Beverages","2","240","20","460","Net Banking","S001"
"TXN0144","INV0144","2026-04-25","C030","P003","Rice 5kg","Grocery","5","420","0","2100","Net Banking","S002"
"TXN0145","INV0145","not-a-date","C016","P020","Handwash","Household","3","140","5","415","Net Banking","S003"
"TXN0146","INV0146","2026-06-02","C006","P008","Shampoo","Personal Care","3","160","20","460","UPI","S001"
"TXN0147","INV0147","2026-04-05","C030","P020","Handwash","Household","1","140","10","130","Net Banking","S002"
"TXN0148","INV0148","2026-06-08","C010","P016","Chips","Snacks","2","30","10","50","Net Banking","S003"
"TXN0149","INV0149","2026-01-15","C037","P007","Toothpaste","Personal Care","6","95","5","565","Cash","S001"
"TXN0150","INV0150","2026-06-26","C025","P002","Bread Loaf","Bakery","5","45","20","205","card","S001"
"TXN0151","INV0151","2026-04-23","C032","P012","Butter","Dairy","7","120","15","825","Card","S002"
"TXN0152","INV0152","2026-05-04","C010","P005","Tea Powder","Beverages","1","180","0","180","UPI","S002"
"TXN0153","INV0153","2026-02-20","C001","P011","Eggs 12pc","Dairy","5","90","0","450","Net Banking","S001"
"TXN0154","INV0154","2026-06-11","C033","P007","Toothpaste","Personal Care","7","95","0","665","Cash","S002"
"TXN0155","INV0155","2026-04-22","C030","P013","Detergent","Personal care","2","210","5","415","Cash","S001"
"TXN0156","INV0156","2026-02-10","C023","P001","Milk 1L","Dairy","1","60","5","55","Card","S002"
"TXN0157","INV0157","2026-01-27","C015","P018","Cooking Oil","Grocery","4","165","15","645","Cash","S002"
"TXN0158","INV0158","2026-06-02","C037","P002","Bread Loaf","Bakery","6","45","10","260","Card","S001"
"TXN0159","INV0159","2026-06-10","C025","P005","Tea Powder","Beverages","6","180","20","1060","Card","S001"
"TXN0160","INV0160","2026-04-11","C014","P001","Milk 1L","Dairy","0","60","0","300","Cash","S003"
"TXN0161","INV0161","2026-04-11","C039","P007","Toothpaste","Personal Care","2","95","0","190","Cash","S003"
"TXN0162","INV0162","2026-06-29","C011","P007","Toothpaste","Personal Care","3","95","0","285","Cash","S001"
"TXN0163","INV0163","2026-03-27","C007","P016","Chips","Snacks","8","30","0","240","UPI","S002"
"TXN0164","INV0164","2026-01-18","C016","P019","Flour 5kg","Grocery","8","250","0","2000","Net Banking","S002"
"TXN0165","INV0165","2026-05-10","C040","P015","Biscuits","Snacks","1","35","","35","UPI","S001"
"TXN0166","INV0166","2026-04-26","C023","P002","Bread Loaf","Bakery","4","45","20","160","Card","S003"
"TXN0167","INV0167","2026-04-08","C011","P020","Handwash","Household","2","140","0","280","Net Banking","S002"
"TXN0168","INV0168","2026-04-19","C024","P002","Bread Loaf","Bakery","6","45","0","270","UPI","S002"
"TXN0169","INV0169","2026-05-24","C027","P020","Handwash","Household","6","140","0","840","Net Banking","S003"
"TXN0170","INV0170","2026-03-08","C003","P007","Toothpaste","Personal Care","7","-40","20","645","UPI","S001"
"TXN0171","INV0171","2026-05-17","C024","P017","Juice 1L","Beverages","1","99","0","99","UPI","S002"
"TXN0172","INV0172","2026-02-24","C018","P012","Butter","Dairy","7","120","0","840","UPI","S003"
"TXN0173","INV0173","2026-01-06","C030","P011","Eggs 12pc","Dairy","2","90","0","180","Cash","S003"
"TXN0174","INV0174","2026-03-14","C013","P009","Notebook","Stationery","7","50","15","335","Cash","S001"
"TXN0175","INV0175","2026-01-14","C038","P004","  Bread Loaf  ","Grocery","2","55","0","110","Net Banking","S001"
"TXN0176","INV0176","2026-05-31","C012","P011","Eggs 12pc","Dairy","5","90","20","430","UPI","S002"
"TXN0177","INV0177","2026-05-20","C026","P002","Bread Loaf","Bakery","6","45","0","270","Net Banking","S003"
"TXN0178","INV0178","2026-05-15","C017","P002","Bread Loaf","Bakery","5","45","20","205","Cash","S001"
"TXN0179","INV0179","2026-04-13","C035","P005","Tea Powder","Beverages","5","180","15","885","UPI","S001"
"TXN0180","INV0005","2026-04-30","C021","P018","Cooking Oil","Grocery","5","165","5","820","Cash","S002"
"TXN0181","INV0181","2026-05-11","C027","P005","Tea Powder","Beverages","7","180","0","1260","Cash","S003"
"TXN0182","INV0182","2026-01-17","C001","P019","Flour 5kg","Grocery","8","250","0","2000","Card","S002"
"TXN0183","INV0183","2026-05-27","C024","P020","Handwash","Household","6","140","20","820","Net Banking","S001"
"TXN0184","INV0184","2026-04-23","C004","P003","Rice 5kg","Grocery","5","420","10","2090","Net Banking","S002"
"TXN0185","INV0185","2026-02-11","c010","P005","Tea Powder","Beverages","1","180","15","165","Card","S002"
"TXN0186","INV0186","2026-04-22","C040","P014","Soap Pack","Personal Care","7","110","0","770","Net Banking","S001"
"TXN0187","INV0187","2026-04-04","C039","P016","Chips","Snacks","6","30","20","160","Card","S003"
"TXN0188","INV0188","2026-06-20","C006","P015","Biscuits","Snacks","1","35","5","30","Card","S002"
"TXN0189","INV0189","2026-05-18","C022","P008","Shampoo","Personal Care","1","160","0","160","Net Banking","S002"
"TXN0190","INV0190","2026-05-20","C007","P011","Eggs 12pc","Dairy","2","90","10","170","Card","s001"
"TXN0191","INV0191","2026-02-15","C025","P010","Pen Pack","Stationery","1","75","0","75","Card","S002"
"TXN0192","INV0192","2026-03-01","C002","P018","Cooking Oil","Grocery","1","165","15","150","Card","S003"
"TXN0193","INV0193","2026-02-06","C012","P002","Bread Loaf","Bakery","6","45","10","260","Card","S002"
"TXN0194","INV0194","2026-01-14","C019","P020","Handwash","Household","2","140","5","275","Card","S001"
"TXN0195","INV0195","2026-03-24","C013","P008","Shampoo","Personal Care","5","160","20","12.34","Cash","S001"
"TXN0196","INV0196","2026-04-14","C006","P006","Coffee Jar","Beverages","7","240","0","1680","UPI","S002"
"TXN0197","INV0197","2026-04-16","C009","P003","Rice 5kg","Grocery","3","420","0","1260","Net Banking","S003"
"TXN0198","INV0198","2026-04-20","C034","P004","Sugar 1kg","Grocery","1","55","5","50","UPI","S001"
"TXN0199","INV0199","2026-03-01","C029","P009","Notebook","Stationery","5","50","20","230","Net Banking","S003"
"TXN0003","INV0003","2026-03-30","C014","P004","Sugar 1kg","Grocery","1","55","0","55","Card","S001"
